country,wkt
Christmas Island,"POLYGON ((105.7363000000000284 -10.5045599999999126, 105.7014100000000667 -10.5109699999999293, 105.6289900000000443 -10.4373099999999113, 105.7366100000000415 -10.3840799999999263, 105.7363000000000284 -10.5045599999999126))"
Cocos (Keeling) Islands,"POLYGON ((96.8648400000000720 -12.1920799999999190, 96.8194400000000428 -12.1780599999999595, 96.8236000000000558 -12.1304199999999582, 96.8648400000000720 -12.1920799999999190))"
Colombia,"MULTIPOLYGON (((-78.1193199999999024 2.5020800000000918, -78.2148699999999053 2.5763900000000604, -78.1912599999999429 2.6391700000000924, -78.1055599999999117 2.5959700000000794, -78.1193199999999024 2.5020800000000918)), ((-77.5001899999999182 4.2096800000000485, -77.5485399999999458 4.1961800000000835, -77.4229199999999196 4.3343000000000416, -77.3197299999999359 4.2516700000000469, -77.5001899999999182 4.2096800000000485)), ((-71.3247199999998998 11.8530500000000529, -71.9684799999999427 11.6662500000000477, -72.2093499999999153 11.2500000000000568, -72.4912499999999227 11.1227800000000911, -72.9035499999999388 10.4444400000000428, -73.0047299999999382 9.7683300000000486, -73.3780699999999229 9.1713900000000876, -73.2219599999999105 9.1711100000000556, -73.0099999999999341 9.3020100000000525, -72.9625099999999520 9.1780500000000416, -72.7797299999999154 9.0802800000000730, -72.6644599999999059 8.6411100000000829, -72.3881999999999266 8.3694400000000542, -72.3366699999999128 8.1519400000000815, -72.4597299999999223 7.9205600000000800, -72.4724399999999491 7.4979800000000409, -72.1547299999999154 7.3252800000000775, -72.1329299999999307 7.1733300000000781, -71.9923599999999055 7.0162500000000705, -71.6013899999999239 7.0579200000000810, -71.1812599999999520 6.9634700000000862, -70.7197299999999132 7.0980500000000575, -70.2947299999999018 6.9384700000000521, -70.1191699999999400 6.9758300000000872, -69.4294599999999491 6.1186100000000465, -69.2417399999999361 6.0841000000000918, -69.0563999999999396 6.2161100000000715, -68.6384099999999080 6.1354900000000612, -67.9979299999999398 6.2072200000000635, -67.8311899999999355 6.3075700000000552, -67.4544499999999516 6.1930600000000595, -67.4925199999998995 6.1214100000000826, -67.4139799999999241 5.9955400000000623, -67.6199999999999477 5.7922200000000430, -67.6494499999999448 5.4783300000000850, -67.8486299999999005 5.3065200000000914, -67.8015799999999444 4.9732400000000894, -67.8587599999999043 4.5612500000000864, -67.6351499999999533 3.7976400000000581, -67.4910499999999161 3.7243100000000595, -67.2928499999999303 3.3960400000000845, -67.8330699999999069 2.8766700000000469, -67.6058299999999122 2.7933300000000827, -67.1925099999999134 2.3925000000000409, -67.2115399999998999 2.2436100000000465, -66.8704499999999484 1.2209300000000667, -67.0752799999999070 1.1725000000000705, -67.0711799999999130 1.6204100000000494, -67.3397299999999177 2.1130600000000754, -67.4225799999999253 2.1428500000000668, -67.9147299999999063 1.7452800000000934, -68.1963899999999512 1.9775000000000773, -68.2572299999999359 1.8527800000000525, -68.1530599999999254 1.7241700000000719, -69.5538999999999419 1.7838900000000422, -69.8460999999999217 1.7104600000000687, -69.8422199999999407 1.0722200000000726, -69.2648699999999167 1.0338900000000422, -69.1402899999999363 0.8634700000000635, -69.1278099999999540 0.6440300000000434, -69.2875099999999406 0.6229200000000787, -69.4592799999999215 0.7366000000000668, -70.0447299999999018 0.5850000000000932, -70.0580599999998981 -0.1574999999999136, -69.6065399999999386 -0.5198599999999374, -69.6126499999999169 -0.7558299999999463, -69.4342299999999000 -1.0011799999999198, -69.3785499999999047 -1.3379199999999400, -69.9569199999999114 -4.2368699999999535, -70.3230599999999413 -3.7991699999999469, -70.5279899999999316 -3.8592399999999429, -70.7241599999999266 -3.7797199999999407, -70.0674999999999386 -2.7555599999999458, -70.2953899999999408 -2.5012799999999515, -70.5644499999999084 -2.4933299999999576, -70.8589699999999425 -2.2253499999999349, -71.1880599999999504 -2.3605599999999072, -71.3616799999999216 -2.3469399999999609, -71.6743199999999092 -2.2249999999999091, -71.6931999999999334 -2.1479199999999423, -71.8897999999999229 -2.3777799999999161, -72.2275099999999384 -2.4988899999999603, -72.5901499999999373 -2.4072199999999384, -72.8819599999999355 -2.5063899999999535, -72.9345799999999258 -2.3999999999999204, -73.1152899999999022 -2.3287499999999568, -73.0581999999999425 -2.1455599999999322, -73.1327799999999115 -1.8491699999999582, -73.1970199999999522 -1.8064599999999587, -73.2969499999999243 -1.8735399999999345, -73.4905699999999342 -1.7669399999999200, -73.4471599999999398 -1.6103499999999258, -73.5556999999999448 -1.3752799999999183, -74.2406999999999471 -1.0129199999999514, -74.3761199999999008 -0.5680599999999458, -74.7087599999999270 -0.3616699999999469, -74.7723699999999099 -0.2079199999999446, -74.9380599999999504 -0.1988899999999489, -75.1370099999999184 -0.0453499999999281, -75.2858399999999506 -0.1197199999999157, -75.7608399999999165 0.0468100000000504, -76.0401099999999133 0.3376300000000470, -76.2430599999999004 0.3955600000000459, -76.4008499999999344 0.3923200000000406, -76.4077899999999204 0.2716700000000856, -76.5451499999999214 0.2191700000000765, -77.3794499999999061 0.3847200000000726, -77.4637599999999225 0.6555600000000936, -77.6469599999999218 0.7288900000000922, -77.6783399999999347 0.8372200000000589, -77.8538999999998964 0.8137500000000841, -78.0999999999999091 0.9159700000000726, -78.6774999999999523 1.2855600000000891, -78.8586799999999357 1.5478500000000395, -79.0502799999999297 1.6318100000000868, -78.8449399999999514 1.8365300000000389, -78.5874999999999204 1.7671500000000719, -78.5461099999999419 1.9170800000000554, -78.6868699999999421 2.1934700000000475, -78.5652899999999477 2.4291700000000560, -78.4555699999999092 2.5041700000000446, -78.3464599999999223 2.4378500000000827, -78.2650099999999043 2.5191700000000878, -78.1225099999999202 2.4873600000000806, -77.9869499999999221 2.5225000000000932, -77.9374699999999052 2.6509000000000924, -77.8610499999999206 2.5600000000000591, -77.7454199999999105 2.6104200000000901, -77.7811099999998987 2.7563900000000672, -77.0327199999999266 3.9184000000000765, -77.2654199999999491 3.8401400000000763, -77.2859399999999255 3.9507600000000593, -77.1872299999999427 4.0602800000000911, -77.2605599999999413 4.0955600000000913, -77.3662499999999227 3.9259700000000635, -77.4344499999999130 4.0313900000000444, -77.4255699999999365 4.1786800000000426, -77.2422999999999433 4.2609000000000492, -77.3824399999999173 4.3421500000000606, -77.3130599999999504 4.5465300000000752, -77.3477799999999434 5.2405500000000416, -77.3968099999999026 5.4562500000000682, -77.5322299999999132 5.5188900000000558, -77.3268799999999032 5.6163900000000808, -77.2408399999999347 5.7581900000000701, -77.4888899999999126 6.1853500000000849, -77.4758499999999231 6.2830600000000913, -77.3852899999999408 6.2816700000000765, -77.3404299999999125 6.5673600000000647, -77.6663999999998964 6.8766700000000469, -77.6808399999999324 7.0559700000000589, -77.8897199999998975 7.2288900000000922, -77.7209799999999404 7.5364600000000905, -77.7440299999999525 7.7200000000000841, -77.5774399999999105 7.5261800000000676, -77.3309799999998972 7.7018100000000800, -77.3699999999999477 7.7784700000000839, -77.2155599999999254 7.9372200000000817, -77.2154199999999378 8.0879200000000537, -77.4685799999999176 8.4717000000000553, -77.3666699999999423 8.6750000000000682, -76.9486199999999485 8.1591700000000742, -76.8341099999999528 8.1291000000000508, -76.9238899999999148 7.9360400000000482, -76.7579199999998991 7.9191700000000651, -76.7738199999999438 8.4112500000000523, -76.9283399999999347 8.5683300000000600, -76.3175099999999134 8.9386100000000397, -76.0897399999999493 9.3358300000000440, -75.6343099999999140 9.4481900000000678, -75.5852799999998979 9.6063900000000899, -75.6608399999999506 9.7602800000000798, -75.5040299999999434 10.5501400000000558, -75.2518399999999019 10.7064600000000496, -75.2641399999999408 10.7989900000000603, -75.0394499999999312 10.9058300000000372, -74.8608099999999013 11.1254900000000703, -74.5050099999999134 10.9933300000000713, -74.2922299999999041 10.9990300000000616, -74.5917399999999020 10.8776400000000422, -74.5933099999999172 10.7833000000000538, -74.3950099999998997 10.7421500000000378, -74.1550099999999475 11.3313900000000558, -73.7908399999999460 11.2656900000000633, -73.2844499999999357 11.2955500000000484, -72.7687599999999293 11.6877800000000889, -72.2586199999999508 11.8891700000000924, -72.1387199999999211 12.1063900000000899, -72.1579199999999332 12.2411100000000488, -71.9647599999998988 12.2519800000000600, -72.0118099999999117 12.1926400000000399, -71.9377899999999499 12.1627800000000548, -71.6313899999999535 12.4216000000000690, -71.7365399999999340 12.4141700000000696, -71.6908399999999233 12.4593000000000416, -71.2208399999999529 12.3020800000000463, -71.1141799999999193 12.0488900000000854, -71.3247199999998998 11.8530500000000529)), ((-81.7102799999998979 12.4908300000000736, -81.7201499999999328 12.5452800000000479, -81.6923699999999258 12.5902800000000639, -81.6813199999999142 12.5857600000000502, -81.7102799999998979 12.4908300000000736)))"
Comoros,"MULTIPOLYGON (((43.8570800000000531 -12.3527799999999388, 43.6686100000000579 -12.3574999999999591, 43.6255500000000325 -12.2544499999999061, 43.7250000000000796 -12.2677799999999593, 43.8570800000000531 -12.3527799999999388)), ((44.4875000000000682 -12.0930599999999231, 44.5183300000000486 -12.2136099999999601, 44.5136100000000852 -12.3802799999999138, 44.2122200000000589 -12.1635399999999549, 44.3636100000000511 -12.1808299999999576, 44.4875000000000682 -12.0930599999999231)), ((43.4620800000000713 -11.9344499999999130, 43.2201400000000717 -11.7634699999999270, 43.2869400000000724 -11.3783299999999485, 43.3952700000000391 -11.4061099999999556, 43.4620800000000713 -11.9344499999999130)))"
Congo,"POLYGON ((18.6249600000000441 3.4794400000000678, 18.6158300000000736 3.1380600000000527, 18.0918700000000854 2.2224300000000881, 18.0702800000000821 1.5288900000000467, 17.8736100000000420 0.9923600000000761, 17.9611100000000761 0.3997200000000589, 17.7156900000000519 -0.1420799999999076, 17.7122200000000589 -0.5447199999999270, 17.3230500000000802 -1.0041699999999310, 16.8619400000000610 -1.2544399999999314, 16.5284400000000460 -1.8624699999999166, 16.1940300000000548 -2.1809699999999452, 16.2269400000000701 -3.3283299999999372, 15.8905000000000882 -3.9430099999999584, 15.5352800000000570 -4.0581999999999425, 15.4513900000000604 -4.2729199999999423, 15.2180500000000620 -4.3340299999999274, 14.8320100000000821 -4.8190299999999411, 14.6693000000000779 -4.9072199999999384, 14.4882600000000821 -4.8408999999999196, 14.4188900000000899 -4.8872199999999566, 14.3673200000000634 -4.5550999999999249, 14.4870800000000486 -4.4293099999999299, 14.3722200000000839 -4.2833299999999213, 13.9603500000000622 -4.4948599999999601, 13.7302800000000502 -4.4483299999999417, 13.6995800000000827 -4.7258299999999167, 13.5434700000000703 -4.7530899999999292, 13.4120800000000600 -4.8827799999999115, 13.1419400000000905 -4.5856999999999175, 13.0551400000000513 -4.6186099999999328, 12.8970800000000736 -4.4173599999999169, 12.7790500000000407 -4.3889899999999216, 12.6443000000000438 -4.5571499999999219, 12.4008300000000418 -4.6094499999999243, 12.3314600000000496 -4.7870799999999463, 12.2150700000000825 -4.7599299999999403, 12.1663900000000922 -4.8958299999999326, 12.0010400000000459 -5.0149299999999357, 11.8066000000000599 -4.7772199999999430, 11.7741700000000833 -4.5426399999999489, 11.1406600000000822 -3.9252799999999297, 11.2268700000000763 -3.6933299999999463, 11.4920800000000440 -3.5090299999999388, 11.7400000000000659 -3.6866699999999355, 11.8761100000000397 -3.7059699999999225, 11.9218700000000695 -3.6274999999999409, 11.8401400000000763 -3.5681899999999587, 11.9622900000000527 -3.2974299999999062, 11.7063900000000558 -3.1777799999999274, 11.7152800000000639 -3.0555599999999572, 11.8048600000000761 -3.0154199999999491, 11.6471900000000801 -2.8233699999999544, 11.5427800000000502 -2.8316699999999173, 11.6463200000000597 -2.6146499999999264, 11.5734700000000430 -2.3363899999999376, 11.7333300000000804 -2.4188899999999194, 11.9522200000000680 -2.3324299999999312, 12.0525000000000659 -2.4169399999999541, 12.4780500000000529 -2.3272199999999543, 12.4369400000000496 -1.9011099999999601, 12.6525000000000887 -1.8234699999999293, 12.8200000000000500 -1.9106899999999314, 13.0166700000000901 -2.2702799999999570, 13.0015100000000530 -2.3676699999999187, 13.4846500000000447 -2.4346499999999196, 13.7644400000000360 -2.0907599999999320, 13.8788900000000694 -2.3147199999999089, 13.8705500000000370 -2.4708999999999151, 14.1108300000000781 -2.4930599999999572, 14.2213900000000422 -2.2927799999999365, 14.2588900000000649 -1.9736799999999448, 14.4280500000000416 -1.8845799999999144, 14.4825000000000728 -1.2599999999999341, 14.4202800000000479 -0.9952799999999229, 14.5195800000000759 -0.6133299999999622, 14.4133300000000872 -0.4768099999999436, 14.1925000000000523 -0.4447199999999612, 14.1319400000000428 -0.2815299999999184, 13.8490300000000843 -0.2026399999999171, 13.9402800000000866 -0.0380599999999163, 13.8858300000000554 0.1900000000000546, 13.9604200000000560 0.3486100000000647, 14.0991600000000403 0.5438900000000899, 14.3468000000000870 0.6215300000000639, 14.4856900000000905 0.9172200000000430, 14.1915300000000570 1.3905600000000504, 13.8044400000000564 1.4356200000000854, 13.1867800000000557 1.2224800000000755, 13.2463900000000763 1.3955600000000459, 13.1431900000000610 1.7068700000000376, 13.2938900000000899 2.1636100000000624, 14.5626400000000444 2.1684700000000703, 15.0291600000000471 1.9869400000000610, 15.2111100000000761 2.0361100000000647, 15.6875000000000568 1.9335400000000504, 16.0722200000000726 1.6541700000000787, 16.1610400000000709 1.7247200000000475, 16.0834700000000907 2.1525000000000887, 16.2035400000000891 2.2135400000000800, 16.5016600000000722 2.8494400000000724, 16.4827100000000542 3.1550000000000864, 16.6430600000000481 3.5227800000000684, 17.3488900000000399 3.6131600000000503, 17.4636100000000738 3.7111100000000761, 17.8293700000000399 3.6160400000000550, 17.8580500000000484 3.5366700000000719, 18.1109700000000657 3.5622200000000817, 18.1936100000000920 3.4825000000000728, 18.4797200000000430 3.6408300000000509, 18.6249600000000441 3.4794400000000678))"
Cook Islands,"MULTIPOLYGON (((-157.8876599999999257 -21.9368099999999231, -157.9469599999999048 -21.9395799999999213, -157.9575199999999029 -21.8952799999999570, -157.9217399999999145 -21.8814599999999473, -157.8876599999999257 -21.9368099999999231)), ((-159.7391699999999162 -21.2524999999999409, -159.8325099999999281 -21.2484699999999407, -159.8347099999999159 -21.1993099999999117, -159.7561399999999026 -21.1923599999999510, -159.7391699999999162 -21.2524999999999409)), ((-158.0983599999999285 -20.0161099999999124, -158.1266799999999080 -20.0094399999999268, -158.1115299999999024 -19.9713199999999347, -158.0836299999999142 -19.9844399999999496, -158.0983599999999285 -20.0161099999999124)), ((-157.7086499999999205 -19.8530499999999392, -157.7408199999999283 -19.8176399999999262, -157.7122999999999138 -19.7731299999999237, -157.7037699999999063 -19.8368099999999572, -157.7086499999999205 -19.8530499999999392)), ((-163.1633299999999167 -18.0894399999999109, -163.1712799999999106 -18.0841699999999150, -163.1547199999999123 -18.0614599999999541, -163.1572599999999227 -18.0805599999999345, -163.1633299999999167 -18.0894399999999109)), ((-165.8276499999999203 -10.8813199999999597, -165.8416799999999114 -10.8908399999999119, -165.8483399999999222 -10.8842399999999202, -165.8276499999999203 -10.8813199999999597)))"
Costa Rica,"POLYGON ((-83.6457999999999515 10.9248500000000490, -83.3397399999999493 10.2997200000000930, -82.7631299999999328 9.6526400000000763, -82.5635699999999133 9.5628800000000638, -82.6362599999999361 9.4880600000000754, -82.8377199999999334 9.6097200000000385, -82.9347199999999134 9.4716700000000742, -82.9304699999999002 9.0631200000000831, -82.7118799999999510 8.9250700000000620, -82.9144599999999059 8.7627800000000775, -82.8299199999999018 8.4746600000000853, -83.0302899999999227 8.3105600000000663, -82.9333399999999301 8.2575000000000500, -82.8859799999999041 8.1018000000000825, -82.8988499999999249 8.0256700000000478, -82.9709799999999404 8.2294400000000678, -83.1433399999999097 8.3580500000000484, -83.0952499999999077 8.4475300000000857, -83.1802799999999252 8.5997200000000475, -83.3440299999999183 8.7280500000000529, -83.4804199999999241 8.7045500000000402, -83.2933299999999122 8.5305500000000620, -83.2911199999999212 8.3702800000000934, -83.7334799999999291 8.5873600000000465, -83.5905699999999001 8.8411100000000715, -83.6264599999999518 9.0364600000000905, -84.2294499999999289 9.4686100000000692, -84.6186099999999328 9.5794400000000905, -84.7475699999999392 9.9671500000000606, -85.2362499999999272 10.2073600000000511, -85.2229899999999247 10.0850000000000364, -84.8972299999999223 9.8075000000000614, -85.1422299999999268 9.5894400000000815, -85.3449999999999136 9.8327800000000707, -85.6566799999999375 9.9050000000000864, -85.8515299999999115 10.2472200000000839, -85.8575099999999338 10.3694400000000542, -85.6325099999999111 10.6216700000000515, -85.6800099999999247 10.7993000000000734, -85.9113899999999262 10.8911100000000829, -85.7049999999999272 10.9330500000000370, -85.6135499999999183 11.2128500000000599, -84.9027899999999249 10.9408300000000622, -84.6744599999998968 11.0780600000000504, -84.3430699999998978 10.9538900000000581, -84.1932799999999020 10.7836500000000797, -83.9206299999999032 10.7096900000000801, -83.6601499999999305 10.8019400000000587, -83.6457999999999515 10.9248500000000490))"
Croatia,"MULTIPOLYGON (((17.7455500000000370 42.6930500000000848, 17.3725000000000591 42.7572200000000748, 17.3234700000000430 42.7890200000000505, 17.3994400000000837 42.7977700000000709, 17.7455500000000370 42.6930500000000848)), ((16.8205500000000825 42.9600000000000364, 17.0447200000000407 42.9752700000000800, 17.1836100000000442 42.9186100000000579, 16.8661100000000488 42.8977800000000684, 16.6338900000000649 42.9823600000000852, 16.8205500000000825 42.9600000000000364)), ((17.6498400000000402 42.8890800000000354, 17.7975000000000705 42.9038900000000467, 18.2746500000000651 42.6171500000000378, 18.4047200000000544 42.6104100000000585, 18.5169400000000905 42.3999900000000594, 17.8772200000000794 42.7677800000000730, 17.0106200000000740 43.0480500000000461, 17.6498400000000402 42.8890800000000354)), ((16.2098600000000488 43.0234700000000885, 16.0644400000000473 43.0105500000000802, 16.0505500000000438 43.0630500000000325, 16.2521200000000476 43.0646100000000729, 16.2098600000000488 43.0234700000000885)), ((17.1163900000000808 43.1361100000000874, 16.6541600000000471 43.1197200000000862, 16.3777800000000866 43.1953400000000443, 16.5652800000000866 43.2180500000000620, 17.1163900000000808 43.1361100000000874)), ((16.8872200000000703 43.2977700000000709, 16.6288900000000694 43.2619400000000383, 16.4055500000000620 43.3260400000000345, 16.4321500000000924 43.3904800000000819, 16.8872200000000703 43.2977700000000709)), ((15.2172200000000544 43.8908300000000509, 15.1375000000000455 43.8963900000000535, 14.8542400000000612 44.1725700000000643, 15.2195800000000645 43.9097200000000498, 15.2172200000000544 43.8908300000000509)), ((15.0426400000000626 44.5228500000000622, 15.0733300000000554 44.4799900000000434, 14.9762800000000880 44.5191600000000562, 15.2191700000000765 44.3058300000000713, 15.1097200000000385 44.3236100000000874, 14.7352100000000519 44.6977700000000482, 15.0426400000000626 44.5228500000000622)), ((14.5259700000000862 44.4756900000000428, 14.3675000000000637 44.5902700000000323, 14.3380500000000666 44.7067300000000500, 14.3919400000000905 44.6898600000000670, 14.5259700000000862 44.4756900000000428)), ((14.4263900000000831 44.9847200000000385, 14.5301400000000740 44.6336800000000835, 14.4933300000000713 44.6063800000000583, 14.3313900000000558 44.8497200000000475, 14.3971800000000485 44.9115900000000465, 14.2752800000000661 45.1033300000000850, 14.3087500000000887 45.1701300000000856, 14.4263900000000831 44.9847200000000385)), ((14.7581900000000701 44.9419400000000451, 14.4363900000000740 45.0700000000000500, 14.5391600000000381 45.2394400000000587, 14.8066700000000537 44.9963800000000447, 14.7581900000000701 44.9419400000000451)), ((16.6078700000000481 46.4762300000000437, 17.1527100000000701 46.1802700000000641, 17.3113900000000740 45.9752800000000548, 17.5825700000000893 45.9375600000000759, 17.6609700000000771 45.8387400000000866, 18.4075000000000841 45.7483300000000668, 18.8170200000000705 45.9129700000000867, 18.9566600000000562 45.7825000000000841, 18.9022400000000630 45.5731400000000804, 19.0979300000000762 45.5188600000000747, 19.0010800000000586 45.4896900000000528, 18.9812600000000771 45.3822200000000748, 19.4250000000000682 45.2179100000000744, 19.1673600000000874 45.2143000000000370, 19.0397200000000453 44.8613800000000538, 18.9627800000000661 44.8533300000000850, 18.7911100000000602 44.8973600000000488, 18.7950000000000728 44.9936000000000718, 18.6341600000000653 45.0833300000000463, 18.2608300000000554 45.1377800000000775, 17.8603500000000395 45.0493700000000672, 17.1827800000000366 45.1483300000000440, 16.9139200000000756 45.2659500000000889, 16.8184700000000475 45.1874900000000821, 16.5310900000000629 45.2255300000000489, 16.2917600000000675 44.9991100000000870, 16.0224300000000426 45.2143700000000877, 15.7857600000000389 45.1689500000000521, 15.7405900000000543 44.8122500000000628, 16.1298600000000647 44.4923600000000761, 16.1980600000000550 44.3536100000000602, 16.1454800000000773 44.1986800000000812, 16.5334700000000794 44.0156900000000633, 16.9763900000000376 43.5861100000000761, 17.2547200000000771 43.4640200000000618, 17.3037500000000364 43.2756900000000542, 17.6366700000000378 43.0704200000000696, 17.6753000000000497 42.9675100000000612, 17.5188900000000558 42.9527700000000436, 16.8816600000000676 43.4036100000000715, 16.4305500000000393 43.5456900000000360, 15.9883300000000759 43.5044400000000451, 15.9188200000000393 43.5669400000000451, 15.9408300000000622 43.6836100000000442, 15.4575000000000387 43.9226300000000833, 15.1516700000000810 44.1963900000000649, 15.1179900000000771 44.2707600000000525, 15.2913200000000415 44.2534000000000560, 15.2800000000000864 44.3058300000000713, 15.5222900000000550 44.2632500000000846, 14.9905500000000416 44.5794400000000337, 14.8877800000000775 44.7162500000000591, 14.9193000000000779 44.9659700000000839, 14.8315300000000434 45.1154100000000540, 14.4827800000000479 45.3111000000000672, 14.3230500000000802 45.3509700000000748, 14.1674500000000876 44.9890600000000518, 13.9044400000000792 44.7725600000000554, 13.6030600000000845 45.1577700000000846, 13.5047900000000709 45.5020100000000411, 13.7036100000000829 45.4441600000000676, 14.3925000000000409 45.4861100000000533, 14.6097900000000891 45.6684400000000323, 14.8260900000000788 45.4654400000000578, 15.2772200000000566 45.4627800000000661, 15.3525900000000775 45.6517600000000812, 15.3158300000000622 45.7566600000000676, 15.6961100000000897 45.8430500000000620, 15.7114900000000830 46.0531900000000860, 15.6004200000000424 46.1443000000000438, 15.6591700000000742 46.2209000000000856, 16.2661100000000829 46.4194400000000655, 16.2925100000000498 46.5308100000000877, 16.6078700000000481 46.4762300000000437)))"
Cuba,"MULTIPOLYGON (((-82.5445999999999458 21.5738900000000626, -82.8972299999999223 21.4327800000000366, -83.0729899999999475 21.4627100000000723, -83.1913999999999305 21.6234000000000606, -83.0613999999999351 21.5413900000000353, -82.9350799999999140 21.5866000000000895, -83.0894399999999109 21.7855500000000575, -82.9744599999999082 21.9427800000000843, -82.7158399999999006 21.8902700000000436, -82.5445999999999458 21.5738900000000626)), ((-77.9150499999999511 22.0946900000000710, -77.6525699999999119 22.0686100000000351, -77.6383399999999142 21.9530500000000757, -77.7055699999999092 21.9086100000000670, -77.9345999999999322 22.0443000000000779, -77.9150499999999511 22.0946900000000710)), ((-77.8444499999999380 22.1080500000000484, -78.0440299999999070 22.1883300000000645, -77.9975099999999202 22.2852700000000823, -77.8612599999999020 22.2191600000000449, -77.8444499999999380 22.1080500000000484)), ((-78.1186199999999076 22.4138900000000376, -78.0194499999999493 22.2619400000000383, -78.3088199999999119 22.4101400000000694, -78.2052799999999024 22.4370800000000372, -78.1186199999999076 22.4138900000000376)), ((-78.3413999999999078 22.5338900000000422, -78.2777199999999311 22.4427800000000843, -78.4252899999999045 22.4125000000000796, -78.3974399999999036 22.4576400000000831, -78.6963899999999512 22.5116700000000378, -78.3413999999999078 22.5338900000000422)), ((-79.3241699999999241 22.6172200000000885, -79.5177899999999340 22.7141600000000494, -79.6325099999999111 22.8000000000000682, -79.5803499999998962 22.8113200000000802, -79.3241699999999241 22.6172200000000885)), ((-75.0852799999998979 19.8930400000000418, -75.1397399999999038 19.9628700000000663, -75.0927899999999227 20.0563900000000785, -75.2237299999999323 19.9015500000000429, -75.3555599999999117 19.8755500000000893, -76.2488999999999351 19.9908300000000736, -77.7258399999999483 19.8363900000000513, -77.5966699999999037 20.0466700000000628, -77.1145999999999390 20.3673600000000761, -77.0784799999998995 20.4672200000000544, -77.2363899999999148 20.6630600000000868, -78.0722299999999336 20.7138900000000490, -78.4951499999999101 21.0318000000000893, -78.5949999999999136 21.4644400000000815, -78.7402799999999274 21.6347200000000726, -79.2319499999999266 21.5411100000000602, -79.9877899999999045 21.7236100000000647, -80.3669599999999491 21.9705500000000598, -80.4919599999999491 22.1772200000000907, -80.5911199999999326 22.0505500000000438, -80.8911099999999124 22.0397200000000453, -81.1341699999999264 22.1480500000000688, -81.3486199999999258 22.0848600000000488, -81.4063999999999055 22.1783300000000736, -81.8230599999999413 22.1836100000000442, -82.1626499999999282 22.3952800000000707, -81.6488899999999376 22.4913900000000808, -81.6440399999999045 22.5733300000000554, -81.8850099999999088 22.6808300000000713, -82.7605699999999160 22.7008300000000531, -83.3680599999999004 22.2016600000000608, -83.9290399999999295 22.1625000000000796, -84.0287699999999518 21.9140300000000821, -84.2294399999998973 21.9091700000000742, -84.5011199999999008 21.7655500000000757, -84.4984799999999154 21.9347200000000839, -84.8155699999999229 21.8158300000000622, -84.9529299999999239 21.8631900000000883, -84.5141799999998966 22.0452800000000479, -84.3380599999999276 22.0122200000000703, -84.4399999999999409 22.2036100000000829, -84.2005599999999390 22.5530500000000416, -83.2291699999998968 22.9988800000000424, -82.9726399999998989 22.9673600000000420, -82.2205599999999208 23.1875000000000568, -81.5854299999999171 23.1563800000000697, -81.5008399999999256 23.0555500000000393, -81.2269599999999059 23.1616600000000403, -81.2855699999999501 23.1197200000000862, -81.1313999999999282 23.0233300000000440, -80.6330599999999436 23.0983300000000895, -80.5419599999999036 22.9900000000000659, -80.2786199999999326 22.9052800000000616, -80.0376399999998966 22.9512500000000728, -79.6766799999999193 22.7588900000000649, -79.5244499999999448 22.5455500000000484, -79.2590399999999136 22.3726400000000467, -78.8886299999999210 22.4041600000000471, -78.5733299999999417 22.3219400000000405, -78.0555599999999004 22.0788900000000581, -77.7469499999999130 21.7994400000000610, -77.4552799999999024 21.7758300000000418, -77.4305599999999004 21.6561100000000692, -77.3404899999999316 21.6372900000000641, -77.4462599999999384 21.8006900000000883, -77.6106999999999516 21.8858300000000554, -77.5430599999999117 21.9186100000000579, -77.1400099999999043 21.6527700000000891, -77.1579799999999523 21.5771900000000869, -77.3643099999999322 21.6141000000000645, -77.2658399999999119 21.4808300000000827, -77.0619499999999107 21.5850000000000364, -76.8838999999999260 21.4197200000000407, -76.8986099999999055 21.3093100000000391, -76.7988299999999526 21.3836100000000897, -76.6612599999999134 21.3538900000000353, -76.5384799999999359 21.1827800000000366, -76.4573699999999121 21.2200000000000841, -76.4905699999999342 21.2830500000000598, -76.3644499999999198 21.2744400000000837, -76.0216699999999150 21.0841600000000540, -75.7072299999999245 21.1219400000000519, -75.5797299999999268 21.0069400000000428, -75.6338999999999260 20.8458300000000918, -75.7672299999999268 20.8263900000000604, -75.7366799999999216 20.6969400000000405, -74.9555699999999092 20.6852800000000911, -74.4987599999999475 20.3504100000000676, -74.1422299999999268 20.2515200000000846, -74.2843199999999229 20.0565300000000661, -74.7622199999998998 20.0480500000000461, -75.0852799999998979 19.8930400000000418)))"
Cyprus,"POLYGON ((34.1200000000000614 35.4008300000000418, 33.9002800000000661 35.1980500000000802, 34.0852700000000368 34.9616600000000517, 33.6813900000000785 34.9668000000000347, 33.6033300000000850 34.8184700000000475, 33.0300000000000864 34.6577800000000593, 32.4711100000000670 34.7130500000000666, 32.2702700000000391 35.0624900000000821, 32.4240300000000730 35.0441600000000335, 32.6559700000000817 35.1897200000000794, 32.8583300000000804 35.1505500000000666, 33.0027800000000866 35.3655500000000416, 33.6526200000000699 35.3541000000000736, 34.5860400000000823 35.6886100000000397, 34.1200000000000614 35.4008300000000418))"
